bin_variable,data_seed,bin_center,classical,qpu,sqa
delta (correlated-error angle in rad),0,-0.942478,0.74916,0.699333,0.692614
delta (correlated-error angle in rad),1,-0.942478,0.713833,0.704166,0.687172
delta (correlated-error angle in rad),2,-0.942478,0.792969,0.70804,0.700484
delta (correlated-error angle in rad),0,-0.733038,0.78398,0.756695,0.763502
delta (correlated-error angle in rad),1,-0.733038,0.858482,0.852095,0.843059
delta (correlated-error angle in rad),2,-0.733038,0.802693,0.75334,0.722376
delta (correlated-error angle in rad),0,-0.523599,0.89839,0.847264,0.820721
delta (correlated-error angle in rad),1,-0.523599,0.839851,0.843324,0.852196
delta (correlated-error angle in rad),2,-0.523599,0.873989,0.795849,0.786559
delta (correlated-error angle in rad),0,-0.314159,0.919397,0.860366,0.866025
delta (correlated-error angle in rad),1,-0.314159,0.872659,0.794669,0.809553
delta (correlated-error angle in rad),2,-0.314159,0.850313,0.797658,0.790963
delta (correlated-error angle in rad),0,-0.10472,0.890775,0.855732,0.854076
delta (correlated-error angle in rad),1,-0.10472,0.907575,0.861574,0.862398
delta (correlated-error angle in rad),2,-0.10472,0.873834,0.815291,0.82086
delta (correlated-error angle in rad),0,0.10472,0.879655,0.864401,0.879866
delta (correlated-error angle in rad),1,0.10472,0.899636,0.86376,0.877984
delta (correlated-error angle in rad),2,0.10472,0.827161,0.797342,0.79586
delta (correlated-error angle in rad),0,0.314159,0.875043,0.851967,0.851314
delta (correlated-error angle in rad),1,0.314159,0.838904,0.845931,0.847115
delta (correlated-error angle in rad),2,0.314159,0.876032,0.808496,0.817221
delta (correlated-error angle in rad),0,0.523599,0.808681,0.802424,0.807822
delta (correlated-error angle in rad),1,0.523599,0.801769,0.819252,0.803918
delta (correlated-error angle in rad),2,0.523599,0.871594,0.803884,0.798771
delta (correlated-error angle in rad),0,0.733038,0.738941,0.716217,0.709934
delta (correlated-error angle in rad),1,0.733038,0.810053,0.759573,0.784698
delta (correlated-error angle in rad),2,0.733038,0.79,0.763907,0.763529
delta (correlated-error angle in rad),0,0.942478,0.789907,0.778011,0.793582
delta (correlated-error angle in rad),1,0.942478,0.691665,0.691555,0.690175
delta (correlated-error angle in rad),2,0.942478,0.722067,0.626468,0.610449
